Length,Flights
54,2
54,4
192,2
169,3
122,2
120,3
146,1
145,0
247,2
191,0
167,4
144,0
197,2
191,3
73,2
167,3
168,4
169,0
190,3
170,0
97,2
168,0
165,5
146,3
0,4
97,3
105,0
119,4
96,2
121,0
119,5
120,1
261,4
106,4
121,1
98,6
117,1
215,2
143,4
199,0
218,1
213,4
128,4
166,0
193,0
214,0
213,0
331,3
191,1
190,1
236,1
175,1
143,4
222,3
239,0
239,0
236,7
336,0
259,2
174,3
335,3
269,1
353,2
262,3
269,3
262,5
198,2
399,3
235,2
214,4
260,2
381,4
196,0
214,3
377,4
221,3
240,1
405,2
243,4
423,3
244,0
239,4
95,1
221,5
376,1
284,1
259,1
376,2
211,1
381,2
235,0
213,0
283,1
235,1
118,1
191,6
269,0
237,0
283,1
309,0
259,0
309,1
307,2
285,0
306,2
285,2
283,2
262,3
259,4
332,1
259,5
330,0
382,2
333,4
306,0
,2
,3
,4
,0
,3
,1
,1
,2
,4
,2
,1
,5
,0
,2
,4
,2
,1
,3
,3
,5
,5
,1
,4
,1
,3
,0
,4
,1
,1
,1
,5
,0
,4
,0
,2
,1
,5
,1
,5
,3
,0
,0
,4
,3
,1
,1
,1
,1
,2
,0
,4
,3
,4
,3
,1
,1
,3
,2
,3
,0
,2
,3
,0
,3
,2
,0
,4
,3
,3
,5
,1
,1
,1
,3
,0
,3
,1
,2
,1
,1
,2
,3
,1
,3
,2
,2
,0
,0
,1
,0
,1
,3
,6
,4
,3
,4
,2
,0
,0
,4
,2
,0
,0
,0
,1
,3
,2
,4
,2
,0
,1
,1
,1
,1
,0
,1
,4
,3
,2
,2
,0
,1
,1
,4
,2
,0
,2
,5
,1
,7
,3
,3
,1
,1
,1
,3
,2
,3
,3
,0
,2
,1
,3
,2
,4
,3
,1
,0
,4
,1
,2
,4
,0
,2
,0
,2
,3
,0
,1
,1
,3
,5
,3
,4
,0
,4
,2
,3
,2
,2
,2
,0
,5
,5
,1
,4
,0
,4
,2
,2
,6
,0
,1
,1
,4
,0
,2
,1
,0
,0
,0
,4
,3
,0
,1
,6
,0
